title	duration_min
Brooklyn's Finest	133
Die Another Day	133
Everybody Knows	133
Executive Decision	133
John Carter	133
Judwaa	133
Kay Dyache Bola	133
Kuppivala	133
Plaire, aimer et courir vite	133
Sarvopari Palakkaran	133
Teshan	133
The Great Raid	133
Wrong No.	133
Mimi	132
I Am Sam	132
Miss Sloane	132
Night in Paradise	132
Lee Daniels' The Butler	132
The Prom	132
Forensic	132
R.K.Nagar	132
Bittersweet	132
Miracle in Cell No. 7	132
Motichoor Chaknachoor	132
Legend	132
Women of Mafia 2	132
The Highwaymen	132
Barcelona: A Love Untold	132
The Mistress	132
Neevevaro	132
Katti Batti	132
Theeya Velai Seyyanum Kumaru	132
Wake Up Sid	132
Billu	132
Khoon Khoon	132
Riphagen - The Untouchable	132
Chal Mere Bhai	132
Di Renjie zhi Sidatianwang	132
Gabriel and the Mountain	132
Jail	132
Jal	132
Janaan	132
Kaakan	132
Kis Kisko Pyaar Karoon	132
Mala Kahich Problem Nahi	132
Matichya Chuli	132
Maza Pati Karodpati	132
Story of an Egg	132
V for Vendetta	132
Yaara O Dildaara	132
The Twilight Saga: New Moon	131
99 Songs	131
99 Songs (Tamil)	131
99 Songs (Telugu)	131
Savages	131
C/O Kaadhal	131
Alexandria ... Why?	131
Malang	131
Humpty Sharma Ki Dulhania	131
Greater	131
Mallesham	131
Jhankaar Beats	131
Sarvam Thaala Mayam (Telugu Version)	131
Sarvam Thaala Mayam (Tamil Version)	131
Shonar Pahar	131
No One Killed Jessica	131
Raja Natwarlal	131
Welcome to Sajjanpur	131
Mr. Chandramouli	131
Soorma	131
Saadey CM Saab	131
Thank You	131
Sandy Wexler	131
Abhinetri	131
Bioscope	131
Caregiver	131
Lucky: No Time for Love	131
Mary Poppins Returns	131
Mud	131
National Treasure	131
Primal Fear	131
The Last Face	131
Thor: Ragnarok	131
Zed Plus	131
Space Cowboys	130
The Life of David Gale	130
The Soul	130
Bodyguard	130
The 12th Man	130
The Trial of the Chicago 7	130
The Blue Elephant 2	130
Anaamika	130
Kaagar	130
The Emigrant	130
The Land	130
Bhangra Paa Le	130
The Red Sea Diving Resort	130
A Silent Voice	130
The Unmarried Wife	130
A Second Chance	130
Yucatán	130
Blind Detective	130
Apostle	130
Tiger	130
Animal World	130
Pad Man	130
Namastey London	130
Bad Genius	130
CIA: Comrade in America	130
1898: Our Last Men in the Philippines	130
Pink	130
Shrek the Musical	130
City of God	130
Gemini	130
GoldenEye	130
Ishqedarriyaan	130
Miss Julie	130
Suckseed	130
The Mayor	130
Traffic Signal	130
USS Indianapolis: Men of Courage	130
Veerey Ki Wedding	130
Waar	130
What Lies Beneath	130
In the Line of Fire	129
The Game	129
BluffMaster!	129
Hawaizaada	129
Ishq Vishk	129
Manorama Six Feet Under	129
High & Low The Movie	129
Oh My God	129
An Egyptian Story	129
Action Replayy	129
Half Girlfriend	129
6 Underground	129
Mirage	129
Bucket List	129
Ghanchakkar	129
Paan Singh Tomar	129
Happy Go Lucky	129
Luv Shuv Tey Chicken Khurana	129
Main, Meri Patni Aur Woh	129
Phantom	129
In This Corner of the World	129
The Invisible Guardian	129
Azhar	129
Blaze	129
Chal Dhar Pakad	129
Chasing the Dragon	129
